id;names;date_x;score;genre;status;orig_lang;country
641;Scream 2;12/12/1997;65.0;Horror, Mystery; Released; English;US
642;American Sniper;01/22/2015 ;74.0;War, Action; Released; English;AU
643;Last Days in the Desert;05/13/2016 ;57.0;Adventure, Drama, History; Released; English;US
644;Lobo Feroz;01/27/2023 ;63.0;Drama, Thriller; Released; Spanish, Castilian;ES
645;The Forever Purge;07/23/2021 ;71.0;Horror, Action, Thriller; Released; English;AU
646;Scary Movie 5;04/11/2013;48.0;Comedy; Released; English;AU
647;Annabelle: Creation;08/10/2017;66.0;Horror, Mystery, Thriller; Released; English;AU
648;Meet Joe Black;03/11/1999;73.0;Fantasy, Drama, Romance; Released; English;AU
649;Dawn of the Planet of the Apes;07/09/2014;73.0;Science Fiction, Action, Drama, Thriller; Released; English;AU
650;Scarface;02/01/1984;82.0;Action, Crime, Drama; Released; English;AU
651;Train to Busan;07/29/2016 ;78.0;Horror, Thriller, Adventure, Action; Released; Korean;AU
652;Scream 4;04/13/2011 ;64.0;Horror, Mystery; Released; English;AU
653;The Shawshank Redemption;02/16/1995 ;87.0;Drama, Crime; Released; English;AU
654;Beauty and the Beast;06/11/1992;77.0;Romance, Family, Animation, Fantasy; Released; English;AU
655;Beauty and the Beast;06/11/1992;77.0;Romance, Family, Animation, Fantasy; Released; English;AU
656;Looks Can Kill;02/01/2022;46.0;Thriller; Released; English;US
657;Black Panther;02/15/2018 ;74.0;Action, Adventure, Science Fiction; Released; English;AU
658;Batman v Superman: Dawn of Justice;03/24/2016 ;59.0;Action, Adventure, Fantasy; Released; English;AU
659;A Monster Calls;05/12/2017;73.0;Drama, Fantasy; Released; English;AU
660;Spider-Man;06/06/2002;73.0;Fantasy, Action; Released; English;AU
661;Vacation Friends;08/27/2021 ;71.0;Comedy; Released; English;AU
662;The Simpsons in Plusaversary;11/12/2021;66.0;Animation, Comedy, Fantasy; Released; English;US
663;The Last Manhunt;01/01/2023;56.0;Western; Released; English;AU
664;Scary Movie 2;10/18/2001 ;58.0;Comedy; Released; English;AU
665;Harry Potter 20th Anniversary: Return to Hogwarts;01/01/2022;73.0;Documentary; Released; English;US
666;Life Is Beautiful;05/06/2006;85.0;Comedy, Drama; Released; Italian;AU
667;The Twin;04/06/2022;60.0;Horror, Mystery; Released; English;FI
668;Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon;07/30/2021 ;68.0;Animation, Action, Adventure, Fantasy; Released; Japanese;JP
669;Annabelle Comes Home;06/27/2019 ;64.0;Horror, Mystery, Thriller; Released; English;AU
670;Chupa;04/07/2023;69.0;Adventure, Fantasy, Family; Released; English;AU
671;The Matrix;04/08/1999;82.0;Action, Science Fiction; Released; English;AU
672;Sex and Zen II;05/09/1996;60.0;Drama, Fantasy, Romance, Comedy; Released; Cantonese;HK
673;Despicable Me 2;06/26/2013 ;69.0;Animation, Comedy, Family; Released; English;AU
674;Chip 'n Dale: Rescue Rangers;05/18/2022 ;70.0;Animation, Family, Comedy, Adventure, Mystery; Released; English;US
675;Pacific Rim: Uprising;03/22/2018 ;61.0;Action, Fantasy, Science Fiction, Adventure; Released; English;AU
676;Spirit Untamed;06/12/2021;73.0;Animation, Adventure, Family, Western; Released; English;AU
677;Samson and Delilah;12/21/1949 ;66.0;Drama, Romance, Adventure; Released; English;US
678;Capturing Avatar;11/16/2010 ;78.0;Documentary; Released; English;US
679;Psychosexual;05/12/2022;20.0;Thriller; Released; Spanish, Castilian;CO
680;The Mummy;06/24/1999 ;69.0;Adventure, Action, Fantasy; Released; English;AU
681;The Mummy;06/24/1999 ;69.0;Adventure, Action, Fantasy; Released; English;AU
682;Scooby-Doo;06/20/2002 ;60.0;Mystery, Adventure, Comedy; Released; English;AU
683;Jurassic World;06/11/2015;67.0;Action, Adventure, Science Fiction, Thriller; Released; English;AU
684;Kingsman: The Golden Circle;09/21/2017 ;70.0;Action, Adventure, Comedy; Released; English;AU
685;Spirit: Stallion of the Cimarron;05/24/2002 ;77.0;Western, Animation, Adventure, Comedy, Family, Drama; Released; English;US
686;Broken Ties;03/06/2023;72.0;Thriller, TV Movie; Released; English;FR
687;The Little Guy;08/10/2022;74.0;Animation, Family, Comedy, Science Fiction; Released; English;US
688;Project X;03/01/2012;68.0;Comedy; Released; English;AU
689;Tom & Jerry;04/01/2021;69.0;Comedy, Family, Animation; Released; English;AU
690;Tarzan;09/09/1999;74.0;Family, Adventure, Animation, Drama; Released; English;AU
691;Corpse Bride;11/17/2005 ;75.0;Romance, Fantasy, Animation; Released; English;AU
692;Tom Clancy's Without Remorse;04/30/2021 ;70.0;Action, Thriller; Released; English;AU
693;Dragon Ball Z: Fusion Reborn;03/24/2006 ;74.0;Animation, Action, Fantasy, Science Fiction; Released; Japanese;AU
694;Madagascar;06/16/2005 ;69.0;Family, Animation, Adventure, Comedy; Released; English;AU
695;The Twilight Saga: Breaking Dawn - Part 1;11/17/2011 ;62.0;Adventure, Fantasy, Romance; Released; English;AU
696;Army of the Dead;05/21/2021 ;63.0;Action, Crime, Horror, Thriller; Released; English;AU
697;The Friendship Game;11/11/2022;53.0;Science Fiction, Horror; Released; English;US
698;Maleficent;05/29/2014 ;71.0;Fantasy, Adventure, Action, Family, Romance; Released; English;AU
699;The Evil Dead;06/23/1983 ;73.0;Horror; Released; English;AU
700;xXx: Return of Xander Cage;01/19/2017 ;61.0;Action, Adventure, Crime; Released; English;AU
701;Incredibles 2;06/14/2018 ;75.0;Action, Adventure, Animation, Family; Released; English;AU
702;Incantation;03/18/2022 ;69.0;Horror; Released; Chinese;TW
703;Cinderella;03/26/2015 ;68.0;Romance, Fantasy, Family, Drama; Released; English;AU
704;Cinderella;03/26/2015 ;68.0;Romance, Fantasy, Family, Drama; Released; English;AU
705;Wreck-It Ralph;12/26/2012 ;73.0;Family, Animation, Comedy, Adventure; Released; English;AU
706;The Equalizer;09/24/2014 ;72.0;Thriller, Action, Crime; Released; English;AU
707;1917;01/09/2020;80.0;War, Drama, History; Released; English;AU
708;Black Water: Abyss;08/07/2020;52.0;Horror, Action, Adventure; Released; English;US
709;Golden Escape;08/05/2022;67.0;Drama, Crime; Released; Chinese;CN
710;Magnum Opus;07/18/2022 ;74.0;Animation, Family, Science Fiction, Comedy; Released; English;US
711;The Hangover Part III;05/23/2013 ;62.0;Comedy; Released; English;AU
712;Black Site;11/23/2022 ;67.0;Action, Thriller; Released; English;AU
713;Ice Age: The Meltdown;04/06/2006;67.0;Animation, Family, Comedy, Adventure; Released; English;AU
714;The Intouchables;05/18/2012 ;83.0;Drama, Comedy; Released; French;AU
715;Girl in the Basement;02/27/2021 ;79.0;Crime, Thriller, TV Movie; Released; English;US
716;Ambulance;04/07/2022;68.0;Thriller, Action; Released; English;AU
717;Dragon Ball Z: Broly – Second Coming;03/12/1994;67.0;Animation, Action, Science Fiction; Released; Japanese;JP
718;Host;07/30/2020 ;65.0;Horror, Thriller, Mystery; Released; English;US
719;The Rape;05/15/1982 ;35.0;Drama; Released; Japanese;JP
720;Blended;06/11/2014;69.0;Comedy, Romance; Released; English;AU
721;Don't Breathe 2;08/20/2021 ;72.0;Thriller, Horror; Released; English;AU
722;Jurassic World: Fallen Kingdom;06/21/2018 ;66.0;Action, Adventure, Science Fiction, Thriller; Released; English;AU
723;Naruto Shippuden the Movie: Blood Prison;07/30/2011 ;73.0;Thriller, Animation, Action, Comedy, Horror, Mystery; Released; Japanese;JP
724;Bubble;04/28/2022 ;75.0;Animation, Adventure, Science Fiction; Released; Japanese;JP
725;The Meg;08/16/2018 ;62.0;Action, Science Fiction, Horror; Released; English;AU
726;Coherence;09/19/2013 ;73.0;Thriller, Science Fiction; Released; English;US
727;The Commando;04/01/2022;57.0;Action, Crime, Thriller; Released; English;AU
728;Spiderhead;06/17/2022 ;58.0;Science Fiction, Thriller; Released; English;AU
729;Transformers: The Last Knight;06/16/2017 ;61.0;Action, Adventure, Science Fiction; Released; English;AU
730;The Red Book Ritual;09/13/2022 ;56.0;Horror; Released; English;US
731;Parasite;06/17/2019 ;85.0;Comedy, Thriller, Drama; Released; Korean;AU
732;Wonder Woman 1984;12/26/2020 ;65.0;Action, Adventure, Fantasy; Released; English;AU
733;Jumanji: The Next Level;12/26/2019 ;69.0;Adventure, Comedy, Fantasy; Released; English;AU
734;Dragon Ball Z: Bojack Unbound;07/10/1993;71.0;Action, Animation, Science Fiction; Released; Japanese;JP
735;Tinker Bell and the Legend of the NeverBeast;07/22/2015 ;72.0;Adventure, Animation, Family; Released; English;AU
736;Mia and Me: The Hero of Centopia;10/27/2022 ;71.0;Animation, Fantasy, Adventure; Released; English;AU
737;Groot's Pursuit;08/10/2022;72.0;Animation, Family, Comedy, Science Fiction; Released; English;US
738;Road to Ninja: Naruto the Movie;07/28/2012 ;76.0;Animation, Fantasy, Action; Released; Japanese;JP
739;Mobile Suit Gundam Hathaway;06/11/2021;74.0;Animation, Action, Drama, Science Fiction; Released; Japanese;JP
740;Inexorable;04/06/2022;59.0;Thriller; Released; French;FR
741;WALL·E;09/18/2008 ;81.0;Animation, Family, Science Fiction; Released; English;AU
742;Legend Quest: The Origin;02/15/2021 ;83.0;Animation, Comedy, Fantasy, Adventure, Family; Released; Spanish, Castilian;MX
743;The Banshees of Inisherin;12/26/2022 ;75.0;Drama, Comedy; Released; English;AU
744;The Hobbit: The Desolation of Smaug;12/26/2013 ;76.0;Fantasy, Adventure, Action; Released; English;AU
745;Ava;09/02/2020;58.0;Action, Crime, Drama, Adventure, Thriller; Released; English;AU
746;The Blind Side;02/25/2010 ;77.0;Drama; Released; English;AU
747;The Case for Christ;04/07/2017;69.0;Drama; Released; English;US
748;Unbroken: Path to Redemption;09/14/2018 ;69.0;Drama; Released; English;US
749;A Quiet Place;05/21/2018 ;74.0;Horror, Drama, Science Fiction; Released; English;AU
750;Lilo & Stitch;09/19/2002 ;75.0;Animation, Family; Released; English;AU
751;Rocky;03/17/1977 ;78.0;Drama, Romance; Released; English;AU
752;Baba Yaga: Terror of the Dark Forest;02/27/2020 ;60.0;Horror; Released; Russian;RU
753;Wendell & Wild;10/28/2022 ;68.0;Animation, Comedy, Fantasy, Adventure; Released; English;AU
754;Avatar: The Deep Dive - A Special Edition of 20/20;12/13/2022 ;75.0;Documentary; Released; English;US
755;Just Love and a Thousand Songs;12/08/2022;68.0;Music, Documentary; Released; Spanish, Castilian;AR
756;Héctor El Father: Conocerás la verdad;03/22/2018 ;78.0;Drama, Documentary; Released; Spanish, Castilian;PR
757;The Lion King II: Simba's Pride;07/31/2000 ;69.0;Family, Adventure, Animation, Action; Released; English;AU
758;The Simpsons Movie;07/27/2007 ;70.0;Animation, Comedy, Family; Released; English;AU
759;The Mummy Returns;05/10/2001;63.0;Adventure, Action, Fantasy; Released; English;AU
760;Elvis;06/23/2022 ;77.0;Drama, Music, History; Released; English;AU
761;The House;01/14/2022 ;71.0;Animation, Drama, Comedy, Horror, Fantasy; Released; English;GB
762;Fortress;03/01/2022;60.0;Action, Thriller, Crime; Released; English;AU
763;The Grandmother;04/06/2022;59.0;Drama, Horror; Released; Spanish, Castilian;FR
764;King of Kings;10/11/1961;71.0;Drama, History; Released; English;US
765;In Time;10/27/2011 ;70.0;Action, Thriller, Science Fiction; Released; English;AU
766;Hansan: Rising Dragon;08/05/2022;72.0;Action, History, Drama, War; Released; Korean;AU
767;Taken 3;01/08/2015;62.0;Thriller, Action; Released; English;AU
768;A Bug's Life;12/03/1998;70.0;Adventure, Animation, Comedy, Family; Released; English;AU
769;Maleficent: Mistress of Evil;10/17/2019 ;73.0;Family, Fantasy, Adventure, Action; Released; English;AU
770;Bad Boys for Life;01/16/2020 ;72.0;Thriller, Action, Crime; Released; English;AU
771;Ready Player One;03/29/2018 ;76.0;Science Fiction, Adventure, Action; Released; English;AU
772;The Second Coming of Christ;03/06/2018;36.0;Action, Drama; Released; English;US
773;The Flash;06/16/2023 ;0.0;Science Fiction, Action, Adventure; Post Production; English;US
774;The Chalk Line;09/09/2022;64.0;Horror; Released; Spanish, Castilian;ES
775;Pokemon the Movie: Mewtwo Strikes Back - Evolution;07/12/2019;67.0;Animation, Adventure, Fantasy, Action, Family; Released; Japanese;JP
776;The Lost Lotteries;11/16/2022 ;60.0;Crime, Comedy; Released; Thai;TH
777;November;05/11/2023;73.0;Thriller, Crime, Drama; Released; French;AU
778;The Nun 2;09/08/2023;0.0;Horror, Mystery; In Production; English;US
779;Aria the Benedizione;12/03/2021;63.0;Animation, Comedy, Science Fiction, Fantasy; Released; Japanese;JP
780;Sausage Party;08/11/2016;57.0;Adventure, Animation, Comedy, Fantasy; Released; English;AU
781;Fortress: Sniper's Eye;04/29/2022 ;56.0;Action, Thriller, Crime; Released; English;US
782;Fight Club;11/11/1999;84.0;Drama, Thriller, Comedy; Released; English;AU
783;Hercules;09/18/1997 ;75.0;Animation, Family, Fantasy, Adventure, Comedy, Romance; Released; English;AU
784;Hercules;09/18/1997 ;75.0;Animation, Family, Fantasy, Adventure, Comedy, Romance; Released; English;AU
785;Waktu Maghrib;02/09/2023;63.0;Horror; Released; Indonesian;ID
786;Legion;06/03/2010;58.0;Horror, Action, Fantasy; Released; English;AU
787;Six Swedish Girls in a Boarding School;09/28/1979 ;54.0;Comedy; Released; German;DE
788;From Straight A's to XXX;02/11/2017;60.0;Drama, TV Movie; Released; English;US
789;Justice League;11/16/2017 ;61.0;Action, Adventure, Science Fiction; Released; English;AU
790;The Last Temptation of Christ;10/13/1988 ;72.0;Drama; Released; English;AU
791;Ron's Gone Wrong;10/21/2021 ;80.0;Animation, Science Fiction, Family, Comedy; Released; English;AU
792;Mad Max: Fury Road;05/14/2015 ;76.0;Action, Adventure, Science Fiction; Released; English;AU
793;How to Train Your Dragon 2;06/09/2014;77.0;Fantasy, Action, Adventure, Animation, Comedy, Family; Released; English;AU
794;Blackout;10/12/2022;54.0;Action, Adventure, Thriller; Released; English;DK
795;Despicable Me;09/09/2010;72.0;Family, Animation, Comedy, Crime; Released; English;AU
796;Lies My Sister Told Me;05/29/2022 ;66.0;TV Movie, Thriller, Drama; Released; English;US
797;Ava;06/21/2017 ;62.0;Drama; Released; French;FR
798;Fractured;10/10/2019;67.0;Thriller; Released; English;AU
799;Ralph Breaks the Internet;11/26/2018 ;72.0;Family, Animation, Comedy, Adventure; Released; English;AU
800;The Proposal;06/18/2009 ;71.0;Comedy, Romance, Drama; Released; English;AU
801;Rampage;04/20/2018 ;64.0;Action, Adventure, Science Fiction; Released; English;AU
802;Ashfall;01/09/2020;68.0;Action, Adventure, Thriller; Released; Korean;AU
803;Wrong Turn;02/04/2021;60.0;Horror, Thriller; Released; English;AU
804;Alice in Wonderland;07/01/2010;66.0;Family, Fantasy, Adventure; Released; English;AU
805;Alice in Wonderland;07/01/2010;66.0;Family, Fantasy, Adventure; Released; English;AU
806;Ripper Untold;06/28/2021 ;62.0;Horror; Released; English;GB
807;Rurouni Kenshin: The Beginning;06/04/2021;77.0;Action, Adventure, Drama; Released; Japanese;JP
808;Brother Bear;12/26/2003 ;73.0;Adventure, Animation, Family; Released; English;AU
809;Purple Hearts;07/29/2022 ;82.0;Romance, Drama; Released; English;US
810;Ninja Assassin;03/04/2010;65.0;Action, Thriller; Released; English;AU
811;Presences;09/07/2022;69.0;Horror; Released; Spanish, Castilian;MX
812;Miss Peregrine's Home for Peculiar Children;09/29/2016 ;68.0;Fantasy, Adventure, Family, Drama; Released; English;AU
813;How to Train Your Dragon;03/25/2010 ;78.0;Fantasy, Adventure, Animation, Family; Released; English;AU
814;Scream 3;03/23/2000 ;60.0;Horror, Mystery; Released; English;AU
815;Predator;08/20/1987 ;75.0;Science Fiction, Action, Adventure, Thriller; Released; English;AU
816;Superman/Shazam!: The Return of Black Adam;11/09/2010;71.0;Animation, Action; Released; English;US
817;L'oubliée d'Amboise;06/25/2022 ;66.0;Crime, TV Movie; Released; French;FR
818;Ponyo;07/06/2009;77.0;Animation, Fantasy, Family; Released; Japanese;AU
819;Snake Eyes: G.I. Joe Origins;07/22/2021 ;66.0;Action, Adventure; Released; English;AU
820;Knights of the Zodiac;04/28/2023 ;0.0;Fantasy, Action, Adventure; Post Production; English;JP
821;Dragon Ball Z: Cooler's Revenge;07/20/1991 ;69.0;Action, Animation, Science Fiction; Released; Japanese;JP
822;My Sweet Monster;06/23/2022 ;65.0;Animation, Adventure, Family; Released; Russian;AU
823;All the Places;02/14/2023 ;67.0;Comedy, Drama; Released; Spanish, Castilian;MX
824;Beauty and the Beast;03/23/2017 ;70.0;Family, Fantasy, Romance; Released; English;AU
825;Beauty and the Beast;03/23/2017 ;70.0;Family, Fantasy, Romance; Released; English;AU
826;Hunting Ava Bravo;04/01/2022;64.0;Thriller, Action; Released; English;US
827;Marudase Kintarou;12/11/2020;63.0;Romance, Comedy, Animation; Released; Japanese;JP
828;Drag Me to Hell;03/15/2009 ;64.0;Horror, Thriller; Released; English;US
829;Brian Banks;08/09/2019;73.0;Drama; Released; English;US
830;Bullet Proof;08/19/2022 ;58.0;Action, Crime; Released; English;US
831;Beautiful Disaster;04/12/2023;59.0;Romance, Drama, Comedy; Released; English;US
832;Sniper: Rogue Mission;08/16/2022 ;66.0;Action, Thriller, Mystery; Released; English;US
833;Gladiator;05/04/2000;82.0;Action, Drama, Adventure; Released; English;AU
834;The Reading;02/02/2023;74.0;Drama, Thriller; Released; English;US
835;The Karate Kid;07/08/2010;65.0;Action, Adventure, Drama, Family; Released; English;AU
836;The Karate Kid;07/08/2010;65.0;Action, Adventure, Drama, Family; Released; English;AU
837;The Twilight Saga: New Moon;11/19/2009 ;60.0;Adventure, Fantasy, Drama, Romance; Released; English;AU
838;The Dark Knight Rises;07/19/2012 ;78.0;Action, Crime, Drama, Thriller; Released; English;AU
839;Pokémon the Movie: Secrets of the Jungle;12/25/2020 ;71.0;Animation, Adventure, Family, Fantasy; Released; Japanese;JP
840;Pleasure;11/04/2021;63.0;Drama; Released; Swedish;AU
841;Men;06/16/2022 ;63.0;Horror, Thriller, Fantasy; Released; English;AU
842;King;02/16/2022 ;66.0;Adventure, Comedy, Family; Released; French;FR
843;Ice Age: Continental Drift;06/28/2012 ;63.0;Animation, Comedy, Adventure, Family; Released; English;AU
844;Texas Chainsaw Massacre;02/18/2022 ;52.0;Horror, Thriller; Released; English;US
845;The Devil Wears Prada;09/28/2006 ;74.0;Comedy, Drama, Romance; Released; English;AU
846;KONOSUBA – God's blessing on this wonderful world! Legend of Crimson;08/30/2019 ;82.0;Animation, Adventure, Comedy, Fantasy; Released; Japanese;JP
847;Pixels;07/30/2015 ;57.0;Action, Comedy, Science Fiction; Released; English;AU
848;Weathering with You;08/22/2019 ;80.0;Animation, Drama, Fantasy, Romance; Released; Japanese;AU
849;The Nightmare Before Christmas;11/10/1994;78.0;Fantasy, Animation, Family; Released; English;AU
850;Limitless;03/08/2011;72.0;Thriller, Mystery, Science Fiction; Released; English;AU
851;The Killer;07/13/2022 ;79.0;Action, Crime, Thriller; Released; Korean;KR
852;Just Go with It;03/31/2011 ;67.0;Comedy, Romance; Released; English;AU
853;Hustle;06/08/2022;78.0;Drama, Comedy; Released; English;AU
854;Dynasty Warriors;04/27/2021 ;62.0;Action, Adventure, Fantasy; Released; Cantonese;HK
855;The Notebook;10/14/2004 ;79.0;Romance, Drama; Released; English;AU
856;Selena Gomez: My Mind & Me;11/02/2022;82.0;Documentary, Music; Released; English;US
857;Superbad;09/20/2007 ;72.0;Comedy; Released; English;AU
858;Old;07/22/2021 ;64.0;Thriller, Mystery, Horror; Released; English;AU
859;A Whisker Away;06/18/2020 ;80.0;Animation, Drama, Romance, Fantasy; Released; Japanese;AU
860;Sing;11/23/2016 ;71.0;Animation, Comedy, Family, Music; Released; English;AU
861;Sing;11/23/2016 ;71.0;Animation, Comedy, Family, Music; Released; English;AU
862;Kung Fu Panda 3;03/24/2016 ;69.0;Action, Adventure, Animation, Comedy, Family; Released; English;AU
863;Lady Chatterley's Lover;10/14/2022 ;68.0;Drama, Romance; Released; English;GB
864;The Great Wall;02/16/2017 ;60.0;Action, Adventure, Fantasy; Released; English;AU
865;Monster Pets: A Hotel Transylvania Short;04/02/2021;74.0;Animation, Comedy, Fantasy; Released; English;US
866;Aladdin;05/24/2019 ;71.0;Adventure, Fantasy, Romance, Family; Released; English;AU
867;Aladdin;05/24/2019 ;71.0;Adventure, Fantasy, Romance, Family; Released; English;AU
868;The Jungle Book;12/18/1968 ;73.0;Family, Animation, Adventure; Released; English;AU
869;The Jungle Book;12/18/1968 ;73.0;Family, Animation, Adventure; Released; English;AU
870;A Silent Voice: The Movie;04/06/2017;84.0;Animation, Drama; Released; Japanese;AU
871;Solomon and Sheba;12/25/1959 ;64.0;History, Romance; Released; English;US
872;The Incredibles;12/26/2004 ;77.0;Action, Adventure, Animation, Family; Released; English;AU
873;Don't Worry Darling;09/30/2022 ;69.0;Thriller, Mystery, Science Fiction; Released; English;AU
874;The Visit;09/24/2015 ;63.0;Mystery, Thriller, Horror; Released; English;AU
875;Logan;03/02/2017;78.0;Action, Drama, Science Fiction; Released; English;AU
876;Porno;01/01/1981;46.0;Drama; Released; Portuguese;BR
877;Terminator 2: Judgment Day;09/05/1991;81.0;Action, Thriller, Science Fiction; Released; English;AU
878;American Pie Presents: Beta House;01/03/2008;56.0;Comedy; Released; English;AU
879;Trenque Lauquen;10/12/2022;0.0;Drama, Romance, Mystery; Released; Spanish, Castilian;US
880;Call Me by Your Name;12/26/2017 ;82.0;Romance, Drama; Released; English;AU
881;Wish Dragon;06/11/2021;80.0;Animation, Family, Comedy, Fantasy; Released; English;AU
882;Spider-Man 3;06/04/2007;64.0;Fantasy, Action, Adventure; Released; English;AU
883;Jack Reacher;01/02/2013;66.0;Crime, Drama, Thriller, Action; Released; English;AU
884;Garfield;09/16/2004 ;57.0;Animation, Comedy, Family; Released; English;AU
885;Raped by an Angel 2: The Uniform Fan;03/06/1998;44.0;Horror, Thriller; Released; Cantonese;HK
886;The Addams Family;12/05/2019;66.0;Family, Animation, Comedy, Fantasy, Horror; Released; English;AU
887;The Addams Family;12/05/2019;66.0;Family, Animation, Comedy, Fantasy, Horror; Released; English;AU
888;Barbie: Epic Road Trip;10/25/2022 ;71.0;Comedy, Family, Animation; Released; English;US
889;Lucy;07/31/2014 ;64.0;Action, Science Fiction; Released; English;AU
890;Rio;04/07/2011;67.0;Animation, Adventure, Comedy, Family; Released; English;AU
891;The SpongeBob SquarePants Movie;01/06/2005;70.0;Family, Animation, Comedy, Fantasy, Adventure, Action; Released; English;AU
892;Blade Runner 2049;10/05/2017;75.0;Science Fiction, Drama; Released; English;AU
893;No Manches Frida;09/15/2016 ;78.0;Comedy; Released; Spanish, Castilian;MX
894;Along with the Gods: The Two Worlds;12/14/2017 ;81.0;Action, Adventure, Fantasy, Drama; Released; Korean;AU
895;Sharper;02/10/2023;71.0;Thriller, Crime, Drama; Released; English;US
896;Fantastic Beasts and Where to Find Them;11/17/2016 ;73.0;Adventure, Fantasy, Family; Released; English;AU
897;No Manches Frida 2;03/15/2019 ;80.0;Comedy; Released; Spanish, Castilian;US
898;Wrong Turn;07/31/2003 ;63.0;Horror, Thriller; Released; English;AU
899;Shut In;02/10/2022;70.0;Thriller, Horror, Drama; Released; English;US
900;Missing;02/23/2023 ;77.0;Drama, Mystery, Thriller; Released; English;AU
901;Panama;05/18/2022 ;53.0;Thriller, Action; Released; English;AU
902;Dragon Ball Z: The Return of Cooler;03/07/1992;66.0;Action, Animation, Science Fiction; Released; Japanese;JP
903;Don't Come Back Alive;09/29/2022 ;58.0;Thriller, Fantasy, Horror; Released; Spanish, Castilian;AR
904;The Pope: Answers;04/05/2023;63.0;Documentary; Released; Spanish, Castilian;ES
905;Restart the Earth;09/03/2021;69.0;Science Fiction, Horror, Action; Released; Chinese;CN
906;Heaven Is for Real;04/16/2014 ;67.0;Drama; Released; English;US
907;Bruce Almighty;06/19/2003 ;67.0;Fantasy, Comedy; Released; English;AU
908;Female Boss Hooker;08/31/2020 ;100.0;Drama, Romance; Released; Korean;KR
909;Secret of the Wings;09/20/2012 ;72.0;Animation, Family, Fantasy, Adventure; Released; English;AU
910;Wrong Turn 5: Bloodlines;10/23/2012 ;54.0;Horror, Thriller; Released; English;US
911;Penguins of Madagascar;12/05/2014;65.0;Family, Animation, Adventure, Comedy; Released; English;AU
912;Cat Pack: A PAW Patrol Exclusive Event;06/24/2022 ;74.0;Animation, Family; Released; English;US
913;Belle;01/20/2022 ;79.0;Animation, Science Fiction, Family; Released; Japanese;AU
914;Saving Private Ryan;11/19/1998 ;82.0;Drama, History, War; Released; English;AU
915;Rio 2;04/10/2014;65.0;Adventure, Animation, Comedy, Family; Released; English;AU
916;Puss in Boots: The Three Diablos;02/24/2012 ;66.0;Adventure, Animation, Comedy, Family; Released; English;US
917;Star Wars: The Force Awakens;12/17/2015 ;73.0;Adventure, Action, Science Fiction, Fantasy; Released; English;AU
918;American Wedding;08/07/2003;62.0;Comedy, Romance; Released; English;AU
919;Till;03/09/2023;75.0;Drama, History; Released; English;AU
920;Mira;12/22/2022 ;69.0;Drama, Adventure, Science Fiction, Family; Released; Russian;RU
921;Stand by Me Doraemon 2;11/20/2020 ;77.0;Animation, Family, Science Fiction; Released; Japanese;JP
922;Tom and Jerry Cowboy Up!;01/25/2022 ;69.0;Animation, Comedy, Family, Western; Released; English;US
923;Fireheart;01/16/2022 ;74.0;Animation, Family; Released; English;FR
924;American Pie Presents: The Book of Love;12/04/2009;53.0;Comedy; Released; English;US
925;Unlocked;02/17/2023 ;75.0;Thriller, Mystery; Released; Korean;KR
926;V/H/S/99;10/20/2022 ;63.0;Horror, Thriller; Released; English;AU
927;Trolls Holiday in Harmony;11/27/2021 ;72.0;Animation, Fantasy, Family; Released; English;AU
928;El Infierno;09/03/2010;79.0;Drama, Crime, Comedy; Released; Spanish, Castilian;MX
929;Abraham Lincoln: Vampire Hunter;08/01/2012;57.0;Action, Fantasy, Horror; Released; English;AU
930;Trolls;12/08/2016;67.0;Family, Animation, Fantasy, Adventure, Comedy, Music; Released; English;AU
931;Ghostland;03/14/2018 ;73.0;Horror, Mystery, Thriller; Released; English;FR
932;Crank: High Voltage;08/04/2009;60.0;Action, Thriller, Crime; Released; English;AU
933;A Haunted House 2;04/18/2014 ;61.0;Comedy, Horror; Released; English;US
934;Split;01/25/2017 ;73.0;Horror, Thriller; Released; English;AU
935;Gold;01/13/2022 ;63.0;Action, Adventure, Thriller; Released; English;AU
936;Predators;07/08/2010;62.0;Science Fiction, Action, Thriller; Released; English;AU
937;So Cold the River;03/25/2022 ;56.0;Horror, Thriller; Released; English;US
938;Pokémon the Movie: I Choose You!;11/11/2017;70.0;Family, Animation, Adventure, Fantasy; Released; Japanese;AU
939;Pulp Fiction;11/24/1994 ;85.0;Thriller, Crime; Released; English;AU
940;American Sicario;12/10/2021;60.0;Crime, Action; Released; English;US
941;House Party;02/01/2023;64.0;Comedy; Released; English;AU
942;Tonight You're Sleeping with Me;03/01/2023;64.0;Romance, Drama; Released; Polish;PL
943;American Reunion;04/04/2012;63.0;Comedy; Released; English;AU
944;Jesus Christ Superstar;08/15/1973 ;71.0;Music, Drama; Released; English;US
945;Chappie;03/11/2015;68.0;Crime, Action, Science Fiction; Released; English;AU
946;Fireproof;09/26/2008 ;76.0;Drama, Romance; Released; English;US
947;That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond;01/19/2023 ;70.0;Animation, Fantasy, Adventure; Released; Japanese;AU
948;Nothing Serious;11/24/2021 ;66.0;Romance, Comedy; Released; Korean;KR
949;Berlin Drifters;09/10/2017;60.0;Drama; Released; Japanese;HK
950;A Haunted House;01/11/2013;58.0;Comedy, Horror; Released; English;US
951;Inglourious Basterds;08/19/2009 ;82.0;Drama, Thriller, War; Released; English;AU
